"accession_id"	"lineage"	"cross_references"	"collection_date"	"country"	"center_name"	"host"	"TAXON"	"coverage"	"phylogeny"
"MW738986"	"B.1.305"	""	"20200624"	"USA"	"Texas Department of State Health Services-SARS-CoV-2 submission group"	"Homo sapiens"	"2697049"	"93.91243"	""
"MZ185927"	"B.1.1.7"	""	"20210417"	"USA"	""	"Homo sapiens"	"2697049"	"99.98327"	""
"OU266139"	"B.1.1.7"	""	"20210419"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.59175"	""
"OL583610"	""	""	"20210921"	"USA"	"Utah Public Health Laboratory"	"Homo sapiens"	"2697049"	"100.0"	""
"MZ810188"	"AY.44"	""	"20210717"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"100.0"	""
"OK359445"	"AY.103"	""	"20210912"	"USA"	""	"Homo sapiens"	"2697049"	"97.17937"	""
"MW184787"	"D.2"	""	"20200807"	"Australia"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OL558640"	"AY.25"	""	"20211102"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"100.0"	""
"OK409649"	"AY.26"	""	"20210826"	"USA"	""	"Homo sapiens"	"2697049"	"99.99329"	""
"MW859674"	"B.1.2"	""	"20210303"	"USA"	""	"Homo sapiens"	"2697049"	"99.35618"	""
"MZ981594"	"AY.44"	""	"20210727"	"USA"	"Utah Public Health Laboratory"	"Homo sapiens"	"2697049"	"98.841736"	""
"MT994975"	"B.1"	""	"20200826"	"Egypt"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OV278097"	""	""	"20211127"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.57502"	""
"FR998813"	"B.1.117"	""	"20200513"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.99664"	""
"BS000782"	"B.1.1.214"	""	"20201027"	"Japan"	""	"Homo sapiens"	"2697049"	"99.99664"	""
"MZ073523"	"B.1.1.519"	""	"20210410"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ933932"	"AY.14"	""	"20210818"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"99.20231"	""
"MZ763249"	"AY.14"	""	"20210803"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.093956"	""
"MT972541"	"D.2"	""	"20200704"	"Australia"	"The Peter Doherty Institute for Infection and Immunity"	"Homo sapiens"	"2697049"	"100.0"	""
"FR993342"	"B.1.416.1"	""	"20201102"	"Switzerland"	"Swiss Pathogen Surveillance Platform (SPSP)"	"Homo sapiens"	"2697049"	"98.696205"	""
"MZ994061"	"AY.103"	""	"20210814"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OL714547"	"AY.3"	""	"20211104"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"99.58371"	""
"BS000775"	"B.1.1.284"	""	"20201012"	"Japan"	""	"Homo sapiens"	"2697049"	"100.0"	""
"FR995593"	"B.40"	""	"20200331"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.80398"	""
"FR994044"	"B.1.391"	""	"20200411"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.560135"	""
"FR995147"	"B.1.1"	""	"20200403"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.780525"	""
"OL718407"	"AY.103"	""	"20211122"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"99.74571"	""
"MZ859612"	"AY.119"	""	"20210730"	"USA"	""	"Homo sapiens"	"2697049"	"99.81463"	""
"MZ908248"	"B.1"	""	"20201104"	"USA"	"The Translational Genomics Research Institute COVID submission group"	"Homo sapiens"	"2697049"	"98.42681"	""
"MZ073432"	"B.1.1.7"	""	"20210412"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MW858490"	"B.1.427"	""	"20210314"	"USA"	""	"Homo sapiens"	"2697049"	"99.33948"	""
"BS001195"	"B.1.1.7"	""	"20210427"	"Japan"	""	"Homo sapiens, male"	"2697049"	"100.0"	""
"MW566914"	"B.1.596"	""	"20201201"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MW994546"	"B.1.2"	""	"20210312"	"USA"	""	"Homo sapiens"	"2697049"	"96.92179"	""
"MZ554728"	"P.1"	""	"20210624"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"100.0"	""
"MZ192988"	"B.1.427"	""	"20210430"	"USA"	""	"Homo sapiens"	"2697049"	"97.412"	""
"FR993745"	"B.1.1.7"	""	"20210222"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"98.60795"	""
"MZ153734"	"B.1.526"	""	"20210419"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"MZ492286"	"B.1.1.7"	""	"20210609"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU502766"	"AY.4"	""	"20210725"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.591835"	""
"MZ158938"	"B.1.1.7"	""	"20210329"	"USA"	""	"Homo sapiens"	"2697049"	"99.99665"	""
"MZ155931"	"B.1.1.7"	""	"20210428"	"USA"	""	"Homo sapiens"	"2697049"	"99.49313"	""
"MW708891"	"B.1.1.519"	""	"20210205"	"USA"	""	"Homo sapiens"	"2697049"	"99.99665"	""
"MZ166936"	"B.1.1.7"	""	"20210408"	"USA"	""	"Homo sapiens"	"2697049"	"99.98659"	""
"MZ101933"	"B.1.1.7"	""	"20210421"	"USA"	"Broad Institute Genomic Center for Infectious Diseases"	"Homo sapiens"	"2697049"	"98.97083"	""
"OK239371"	"AY.3"	""	"20210826"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK134842"	"AY.26"	""	"20210818"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OU678594"	"AY.4"	""	"20210901"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.595184"	""
"LR991698"	"B.1.1.7"	""	"20200921"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.59177"	"true"
"MN908947"	"B"	""	"20191200"	"China"	""	"Homo sapiens"	"2697049"	"100.0"	"true"
"MZ554943"	"AY.13"	""	"20210617"	"USA"	"CDC-OAMD"	"Homo sapiens"	"2697049"	"100.0"	""
"OK658395"	"AY.39.2"	""	"20210901"	"USA"	"California Department of Public Health"	"Homo sapiens"	"2697049"	"99.43734"	""
"OV162612"	"AY.4.2"	""	"20211117"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.57176"	""
"OK185776"	"AY.44"	""	"20210820"	"USA"	""	"Homo sapiens"	"2697049"	"99.74486"	""
"OU445566"	"AY.4"	""	"20210713"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.595184"	""
"LR861087"	"B.1"	""	"20200000"	"Switzerland"	"ETH ZURICH D-BSSE"	"Homo sapiens"	"2697049"	"99.76926"	""
"MZ291086"	"B.1.1.7"	""	"20210506"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OK449757"	"AY.44"	""	"20211001"	"USA"	""	"Homo sapiens"	"2697049"	"91.14777"	""
"MZ238399"	"B.1.1.7"	""	"20210504"	"USA"	""	"Homo sapiens"	"2697049"	"99.96651"	""
"MW697046"	"B.1.2"	""	"20210216"	"USA"	""	"Homo sapiens"	"2697049"	"100.0"	""
"OL826094"	""	""	"20201118"	"USA"	""	"Homo sapiens"	"2697049"	"99.902695"	""
"OU269714"	"B.1.1.7"	""	"20210502"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.5951"	""
"OU068716"	"B.1.1.7"	""	"20210310"	"United Kingdom"	"COVID-19 Genomics UK Consortium"	"Homo sapiens"	"2697049"	"99.5951"	""
"LR963284"	"B.1"	""	"20200321"	"Switzerland"	"Institute for Infectious Diseases, Bern, Switzerland"	"Homo sapiens"	"2697049"	"100.0"	""
"HG996987"	"B.1.1.7"	""	"20210111"	"United Kingdom"	"Modernising Medical Microbiology"	"Homo sapiens"	"2697049"	"99.59175"	""
